'region',population',salary',population_density',happy_index'
'Central Federal District',39250960,60000,60.36705347,84
'Siberian Federal District',17003927,42845,3.778890334,80
'Volga Federal District',29070827,44500,28.03426023,80
'Far Eastern Federal District',8124053,42000,1.168498919,77
'Northwestern Federal District',13941959,52223,8.264487496,76
'Southern Federal District',16482488,35245,36.80597382,86
'Ural Federal District',12329500,47572,6.780049678,80
'North Caucasian Federal District',9967301,24399,58.48016592,83
